# Argument List:
# Name = D4cF_Cdx2_O_k27ac_BMinus_30kb
# peak file = D4cf_Cdx2_O_k27ac.bed
# distance = 30000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr16	3702939	3708096	NM_005223	0.253	+	DNASE1
chr8	86756683	86757761	NR_003594	0.245	-	REXO1L2P
chr12	24376204	24380442	NR_120473	0.237	+	LOC101928471
chr12	24376204	24390899	NR_120472	0.237	+	LOC101928471
chr10	126446399	126480510	NM_001304467	0.223	-	METTL10
chr10	126446399	126480510	NM_001304468	0.223	-	METTL10
chr10	126446399	126480510	NM_212554	0.223	-	METTL10
chr3	88031725	88042919	NM_000866	0.222	+	HTR1F
chr2	128293377	128395303	NM_001080527	0.221	+	MYO7B
chr11	62186506	62190678	NM_003357	0.219	+	SCGB1A1
chr12	91311799	91342446	NR_038868	0.218	+	LINC00615
chr1	228612545	228613026	NM_003493	0.216	-	HIST3H3
chr1	145289769	145370303	NR_104217	0.215	+	NBPF25P
chr2	42275160	42285668	NM_138370	0.207	+	PKDCC
chr8	82370617	82373758	NM_001080526	0.197	-	FABP9
chr1	100315639	100389579	NM_000642	0.194	+	AGL
chr2	42577644	42588356	NM_004718	0.194	-	COX7A2L
chr3	99683157	99683242	NR_037486	0.193	-	MIR3921
chr6	57125321	57128144	NR_109774	0.191	-	LOC100506188
chr9	114365110	114375833	NR_034087	0.190	-	LRRC37A5P
chr11	20044101	20143147	NM_001111019	0.184	+	NAV2
chr1	154955769	154965587	NM_001184891	0.184	+	FLAD1
chr1	154955769	154961488	NM_001184892	0.184	+	FLAD1
chr1	154955769	154965587	NM_025207	0.184	+	FLAD1
chr1	154955769	154965587	NM_201398	0.184	+	FLAD1
chr1	100316044	100389579	NM_000028	0.184	+	AGL
chr1	100316044	100389579	NM_000644	0.184	+	AGL
chr1	100316044	100389579	NM_000643	0.184	+	AGL
chr12	12938540	12944399	NM_030817	0.179	+	APOLD1
chr2	114478866	114478945	NR_039943	0.177	-	MIR4782
chr10	5238797	5260910	NM_001818	0.175	+	AKR1C4
chr1	100316530	100389579	NM_000646	0.173	+	AGL
chr19	54102884	54106751	NR_002938	0.173	-	LOC284379
chr3	9404716	9428475	NM_015453	0.172	+	THUMPD3
chr3	9404716	9428475	NM_001114092	0.172	+	THUMPD3
chr6	110074369	110074419	NR_106988	0.170	-	MIR7641-2
chr1	156163722	156182587	NR_104408	0.169	+	SLC25A44
chr1	156163722	156182587	NM_014655	0.169	+	SLC25A44
chr1	156163722	156182587	NM_001286184	0.169	+	SLC25A44
chr1	156163722	156182587	NR_104412	0.169	+	SLC25A44
chr1	156163722	156182587	NR_104411	0.169	+	SLC25A44
chr1	148250248	148346929	NM_001277444	0.168	-	NBPF9
chr11	62574331	62599563	NM_003164	0.167	-	STX5
chr11	62574331	62599563	NM_001244666	0.167	-	STX5
chr1	148250248	148346756	NM_015383	0.164	-	NBPF14
chr3	5021096	5026865	NM_003670	0.160	+	BHLHE40
chr1	47264669	47285021	NM_000779	0.155	+	CYP4B1
chr1	47264669	47285021	NM_001099772	0.155	+	CYP4B1
chr15	102182048	102192594	NM_078474	0.153	-	TM2D3
chr15	102182048	102192594	NM_025141	0.153	-	TM2D3
chr12	53497273	53518323	NM_003578	0.152	+	SOAT2
chr4	175752878	175797115	NR_125900	0.151	+	LOC101928551
chr9	42468588	42474238	NR_026759	0.151	+	FAM95B1
chr7	39663151	39747723	NM_005402	0.149	+	RALA
chr10	103113789	103317078	NM_001256856	0.143	+	BTRC
chr10	103113789	103317078	NM_033637	0.143	+	BTRC
chr10	103113789	103317078	NM_003939	0.143	+	BTRC
chr3	2152092	2185925	NR_046555	0.142	-	CNTN4-AS2
chr9	112887780	112934791	NM_001136562	0.141	+	AKAP2
chr4	138440072	138453652	NM_001300828	0.141	-	PCDH18
chr4	138440072	138453652	NM_019035	0.141	-	PCDH18
chr22	29169124	29185289	NM_001284265	0.139	+	CCDC117
chr1	113465971	113467295	NR_002796	0.136	+	AKR7A2P1
chr11	62620381	62620507	NR_000008	0.135	-	SNORD22
chr1	145293370	146466121	NM_001302371	0.133	+	NBPF10
chr1	145293370	146466121	NM_001039703	0.133	+	NBPF10
chr22	29168661	29185289	NM_001284264	0.131	+	CCDC117
chr22	29168661	29185289	NM_173510	0.131	+	CCDC117
chr22	29168661	29185289	NM_001284263	0.131	+	CCDC117
chr15	95398591	95400293	NR_077061	0.129	+	LOC440311
chr11	62620797	62620865	NR_002560	0.129	-	SNORD31
chr7	123295860	123304147	NM_207163	0.126	+	LMOD2
chr12	12917582	12917677	NR_030344	0.125	+	MIR613
chr11	62621134	62621204	NR_002561	0.123	-	SNORD30
chr1	27114678	27124894	NM_001202554	0.122	+	PIGV
chr19	39327027	39340617	NM_001533	0.120	-	HNRNPL
chr1	47100710	47131550	NM_001256418	0.119	-	ATPAF1
chr1	47100710	47131550	NM_001243728	0.119	-	ATPAF1
chr11	62621375	62621440	NR_002559	0.119	-	SNORD29
chr1	27114453	27124894	NM_017837	0.118	+	PIGV
chr12	22346324	22487648	NM_001304450	0.117	-	ST8SIA1
chr12	22346324	22487648	NM_003034	0.117	-	ST8SIA1
chr1	154929501	154934258	NM_138300	0.113	-	PYGO2
chr5	16473146	16509107	NM_019000	0.112	-	FAM134B
chr9	90387829	90401799	NR_027917	0.109	+	CTSL3P
chr11	62622092	62622167	NR_002562	0.108	-	SNORD28
chr12	42852139	42877416	NM_001144881	0.107	-	PRICKLE1
chr14	23594503	23624667	NM_001267036	0.106	-	SLC7A8
chr14	23594503	23624667	NR_049767	0.106	-	SLC7A8
chr22	26951177	26951289	NR_031615	0.105	-	MIR548J
chr8	23286664	23315244	NM_001128930	0.105	-	ENTPD4
chr8	23286664	23315244	NM_004901	0.105	-	ENTPD4
chr4	69512314	69536494	NM_001076	0.104	-	UGT2B15
chr8	82390731	82395473	NM_001442	0.103	-	FABP4
chr17	56422535	56429599	NM_003168	0.103	-	SUPT4H1
chr17	56422535	56429599	NR_073470	0.103	-	SUPT4H1
chr11	62622483	62622555	NR_002563	0.103	-	SNORD27
chr12	42852139	42877797	NM_001144883	0.101	-	PRICKLE1
chr12	42852139	42877797	NM_001144882	0.101	-	PRICKLE1
chr11	62622763	62622838	NR_002564	0.099	-	SNORD26
chr6	30710975	30712327	NM_003897	0.098	-	IER3
chr9	76986446	76998446	NR_121182	0.098	+	LOC101927358
chr16	86259185	86319853	NR_104139	0.098	-	LINC01081
chr2	133551020	134196212	NR_107007	0.097	-	MIR7853
chr7	22896231	22896305	NR_003075	0.097	+	SNORD93
chr12	2378941	2397911	NR_046769	0.096	+	CACNA1C-IT3
chr16	52060263	52107847	NM_001242473	0.096	-	C16orf97
chr20	50448335	50479452	NR_110016	0.095	-	LINC01429
chr11	62623036	62623103	NR_002565	0.095	-	SNORD25
chr16	86320036	86326995	NR_038438	0.095	+	LOC146513
chr7	23749944	23872130	NM_032944	0.094	+	STK31
chr7	23749944	23872130	NM_001260504	0.094	+	STK31
chr14	21236585	21239107	NM_022360	0.093	+	EDDM3B
chr14	23594503	23623659	NM_182728	0.093	-	SLC7A8
chr14	23594503	23623659	NM_001267037	0.093	-	SLC7A8
chr7	23749785	23872130	NM_031414	0.092	+	STK31
chr7	23749785	23872130	NM_001260505	0.092	+	STK31
chr7	23749785	23872130	NR_048542	0.092	+	STK31
chr11	62619459	62623360	NR_003098	0.092	-	SNHG1
chr1	110993787	110999976	NM_032414	0.092	+	PROK1
chr11	62623483	62656355	NM_002394	0.091	+	SLC3A2
chr11	62623483	62656355	NM_001012664	0.091	+	SLC3A2
chr11	62623483	62656355	NM_001012662	0.091	+	SLC3A2
chr1	17007749	17007823	NR_037446	0.090	+	MIR3675
chr11	58710721	58724547	NM_001220496	0.089	+	GLYATL1
chr11	58710721	58724547	NM_080661	0.089	+	GLYATL1
chr1	92545861	92613401	NM_183242	0.089	+	BTBD8
chr12	11338598	11339543	NM_181429	0.088	-	TAS2R42
chr19	39327027	39342979	NM_001005335	0.087	-	HNRNPL
chr1	47100710	47134099	NM_022745	0.085	-	ATPAF1
chr1	47100710	47134099	NM_001042546	0.085	-	ATPAF1
chr16	51169885	51185183	NM_002968	0.083	-	SALL1
chr1	236681513	236716279	NM_201545	0.083	+	LGALS8
chr6	155538096	155578857	NM_001010927	0.081	+	TIAM2
chr14	23594503	23652869	NM_012244	0.081	-	SLC7A8
chr3	170077410	170114637	NM_001145097	0.081	+	SKIL
chr3	170077410	170114637	NM_001248008	0.081	+	SKIL
chr2	220158832	220158922	NR_029688	0.079	-	MIR153-1
chr12	108168161	108170421	NM_203436	0.078	+	ASCL4
chr6	30695510	30710453	NM_005803	0.077	-	FLOT1
chr16	51169885	51184508	NM_001127892	0.076	-	SALL1
chr7	107220421	107263762	NM_018844	0.076	+	BCAP29
chr7	107220421	107263762	NR_027830	0.076	+	BCAP29
chr2	114647510	114719129	NR_102318	0.076	+	ACTR3
chr2	114647510	114719129	NM_005721	0.076	+	ACTR3
chr11	59516284	59517054	NR_045005	0.073	+	OR10V2P
chr14	101292468	101327360	NR_003531	0.071	+	MEG3
chr14	101292444	101327360	NR_003530	0.071	+	MEG3
chr14	101292444	101327360	NR_046468	0.071	+	MEG3
chr14	101292444	101327360	NR_046467	0.071	+	MEG3
chr14	101292444	101327360	NR_046466	0.071	+	MEG3
chr14	101292444	101327360	NR_046465	0.071	+	MEG3
chr14	101292444	101327360	NR_033359	0.071	+	MEG3
chr14	101292444	101327360	NR_033358	0.071	+	MEG3
chr14	101292444	101327360	NR_046464	0.071	+	MEG3
chr14	101292444	101327360	NR_002766	0.071	+	MEG3
chr14	101292444	101327360	NR_046471	0.071	+	MEG3
chr14	101292444	101327360	NR_033360	0.071	+	MEG3
chr14	101292444	101327360	NR_046470	0.071	+	MEG3
chr14	101292444	101327360	NR_046469	0.071	+	MEG3
chr14	101292444	101327360	NR_046472	0.071	+	MEG3
chr14	101292444	101320642	NR_046473	0.071	+	MEG3
chr12	31944118	31945175	NM_001013699	0.070	-	H3F3C
chr1	228596474	228604583	NM_001134855	0.070	-	TRIM17
chr1	228595635	228604583	NM_016102	0.070	-	TRIM17
chr1	228595635	228604583	NM_001024940	0.070	-	TRIM17
chr12	53491435	53496128	NM_002178	0.070	+	IGFBP6
chr3	129033613	129035120	NM_006026	0.070	-	H1FX
chr3	129035113	129043412	NR_026991	0.069	+	H1FX-AS1
chr2	114648174	114719129	NM_001277140	0.069	+	ACTR3
chr22	29190547	29196560	NM_005080	0.068	-	XBP1
chr22	29190547	29196560	NM_001079539	0.068	-	XBP1
chr7	107221203	107263762	NM_001008405	0.068	+	BCAP29
chr20	50003493	50159258	NM_012340	0.068	-	NFATC2
chr20	50003493	50159258	NM_173091	0.068	-	NFATC2
chr20	50003493	50159258	NM_001258297	0.068	-	NFATC2
chr20	50003493	50159258	NM_001258296	0.068	-	NFATC2
chr18	28956739	28993880	NM_177986	0.067	+	DSG4
chr18	28956739	28993880	NM_001134453	0.067	+	DSG4
chr3	189507448	189599284	NM_001114982	0.066	+	TP63
chr3	189507448	189615068	NM_001114981	0.066	+	TP63
chr3	189507448	189615068	NM_001114980	0.066	+	TP63
chr6	96023047	96025327	NR_047502	0.066	-	MANEA-AS1
chr6	96007971	96025327	NR_104136	0.066	-	MANEA-AS1
chr2	114588759	114648569	NR_110174	0.066	-	LOC101060091
chr6	96025372	96057328	NM_024641	0.065	+	MANEA
chr2	128238382	128284087	NM_017969	0.064	-	IWS1
chr6	52604260	52609957	NR_033760	0.064	-	GSTA7P
chr3	170075472	170114637	NM_001145098	0.062	+	SKIL
chr3	170075472	170114637	NM_005414	0.062	+	SKIL
chr3	4345296	4358949	NR_024022	0.062	+	SETMAR
chr6	126277860	126301389	NM_138571	0.060	+	HINT3
chr3	4344987	4358949	NR_075073	0.059	+	SETMAR
chr3	4344987	4356086	NM_001276325	0.059	+	SETMAR
chr3	4344987	4358949	NM_001243723	0.059	+	SETMAR
chr3	4344987	4358949	NM_006515	0.059	+	SETMAR
chr12	24365354	24365429	NR_030625	0.056	+	MIR920
chr1	47137504	47139256	NM_001145474	0.054	+	TEX38
chr1	47137504	47139256	NM_001300864	0.054	+	TEX38
chr1	47137504	47139256	NM_001300863	0.054	+	TEX38
chr9	37588411	37592636	NM_001134485	0.053	-	TOMM5
chr9	37588411	37592636	NM_001134484	0.053	-	TOMM5
chr9	37588411	37592636	NM_001001790	0.053	-	TOMM5
chr1	154916558	154928567	NM_020524	0.053	-	PBXIP1
chr12	13043955	13066600	NM_003979	0.053	+	GPRC5A
chr1	201708962	201796102	NM_001167738	0.051	+	NAV1
chr13	80910111	80915086	NM_005842	0.048	-	SPRY2
chr7	123254214	123265011	NR_111922	0.048	-	LOC102724555
chr11	59480388	59481318	NM_001005324	0.048	-	OR10V1
chr18	13825542	13826861	NM_005913	0.047	+	MC5R
chr19	54135309	54140263	NM_001012728	0.047	+	DPRX
chr1	154966061	154966791	NM_018655	0.047	+	LENEP
chr4	124320644	124324915	NM_005841	0.047	+	SPRY1
chr1	92539992	92541029	NM_001287737	0.047	-	SETSIP
chr9	138555167	138557755	NM_001001676	0.047	+	LCN9
chr14	88471467	88481155	NM_003608	0.046	+	GPR65
chr13	46255333	46275319	NR_125786	0.045	-	LINC01055
chr1	147374945	147381395	NM_005267	0.044	+	GJA8
chr1	100326765	100389579	NM_000645	0.044	+	AGL
chr9	88556056	88637217	NM_024635	0.044	+	NAA35
chr14	21269514	21270558	NM_198232	0.043	-	RNASE1
chr7	22852250	22862471	NM_019059	0.042	-	TOMM7
chr1	236686738	236716279	NM_006499	0.042	+	LGALS8
chr1	236686738	236716279	NM_201543	0.042	+	LGALS8
chr6	126240369	126253176	NM_001199622	0.041	+	NCOA7
chr4	124319540	124324915	NM_001258039	0.040	+	SPRY1
chr1	47139707	47157769	NR_038828	0.040	+	EFCAB14-AS1
chr1	47139707	47157769	NR_038827	0.040	+	EFCAB14-AS1
chr1	236687026	236716279	NM_201544	0.040	+	LGALS8
chr14	21269514	21271036	NM_002933	0.040	-	RNASE1
chr14	21269514	21271036	NM_198235	0.040	-	RNASE1
chr14	21269514	21271036	NM_198234	0.040	-	RNASE1
chr22	23604953	23607186	NR_033408	0.039	+	FBXW4P1
chr11	114166534	114183238	NM_006169	0.039	+	NNMT
chr13	46276438	46288694	NM_152719	0.039	+	SPERT
chr13	46276438	46288694	NM_001286341	0.039	+	SPERT
chr13	46276603	46288694	NM_001286342	0.038	+	SPERT
chr2	190425315	190445537	NM_014585	0.036	-	SLC40A1
chr1	236686368	236687808	NR_034040	0.036	-	LGALS8-AS1
chr15	73852343	73925753	NM_001161364	0.035	-	NPTN
chr15	73852343	73925753	NM_001161363	0.035	-	NPTN
chr15	73852343	73925753	NM_012428	0.035	-	NPTN
chr15	73852343	73925753	NM_017455	0.035	-	NPTN
chr1	16972068	16976915	NR_027504	0.035	+	MST1P2
chr1	113454469	113498685	NM_001166496	0.034	-	SLC16A1
chr22	26921713	26986089	NM_003595	0.034	-	TPST2
chr1	113454469	113498975	NM_003051	0.033	-	SLC16A1
chr1	113499036	113506690	NR_103744	0.033	+	SLC16A1-AS1
chr1	113499036	113506690	NR_103743	0.033	+	SLC16A1-AS1
chr3	46449048	46451014	NM_001130910	0.033	+	CCRL2
chr4	124317949	124324915	NM_199327	0.033	+	SPRY1
chr4	124317949	124324915	NM_001258038	0.033	+	SPRY1
chr1	232862999	232878461	NR_110683	0.032	-	LOC101927683
chr3	111831647	111831745	NR_030292	0.032	+	MIR567
chr11	59522531	59573355	NM_004177	0.032	+	STX3
chr11	59522531	59573355	NM_001178040	0.032	+	STX3
chrX	13328770	13338052	NR_046087	0.031	+	GS1-600G8.3
chr3	46448720	46451014	NM_003965	0.031	+	CCRL2
chr12	108130331	108153745	NR_120474	0.031	+	LOC101929162
chr18	47901391	47920538	NM_145060	0.030	+	SKA1
chr18	47901391	47920538	NM_001039535	0.030	+	SKA1
chr8	82352563	82359719	NM_002677	0.030	-	PMP2
chr9	133320093	133376661	NM_054012	0.030	+	ASS1
chr9	133320093	133376661	NM_000050	0.030	+	ASS1
chr1	163273995	163291581	NR_045630	0.027	-	RGS5
chr12	48961466	48963829	NM_002289	0.027	-	LALBA
chr11	59210641	59211589	NM_001004728	0.027	+	OR5A1
chr2	216476285	216708259	NR_037195	0.027	-	LINC00607
chr1	163291722	163325553	NM_031423	0.027	+	NUF2
chr1	163291722	163325553	NM_145697	0.027	+	NUF2
chr5	68462836	68474070	NM_031966	0.027	+	CCNB1
chr4	20255186	20622184	NM_001289136	0.026	+	SLIT2
chr4	20255186	20622184	NM_004787	0.026	+	SLIT2
chr4	20255186	20622184	NM_001289135	0.026	+	SLIT2
chr3	189547710	189547798	NR_030642	0.026	+	MIR944
chrX	23801274	23804340	NM_002970	0.026	+	SAT1
chrX	23801274	23804340	NR_027783	0.026	+	SAT1
chr5	63986134	64014017	NM_001164442	0.025	+	FAM159B
chr8	86727072	86728150	NR_003594	0.025	+	REXO1L2P
chr7	156435670	156469820	NM_001184997	0.025	+	RNF32
chr7	31569288	31698334	NM_001257968	0.024	+	CCDC129
chr2	220114432	220119330	NM_001278552	0.024	-	TUBA4A
chr20	18004795	18038526	NM_021220	0.023	-	OVOL2
chr18	61144143	61172318	NM_002639	0.023	+	SERPINB5
chr17	46048321	46059152	NM_176096	0.023	+	CDK5RAP3
chr17	46048321	46059152	NM_001278217	0.023	+	CDK5RAP3
chr17	46048321	46059152	NM_001278198	0.023	+	CDK5RAP3
