# Argument List:
# Name = D4cF_Cdx2_O_k27ac_BMinus
# peak file = D4cf_Cdx2_O_k27ac.bed
# distance = 10000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr9	114312001	114362135	NM_001146109	0.082	-	PTGR1
chr9	114325246	114362135	NM_001146108	0.082	-	PTGR1
chr12	66245006	66275947	NM_001292024	0.079	-	LOC100129940
chr12	66249726	66275947	NM_001292023	0.079	-	LOC100129940
chr8	6479644	6479741	NR_107022	0.074	-	MIR8055
chr12	53574534	53584654	NM_001004304	0.073	+	ZNF740
chr6	113944736	113971277	NR_125844	0.072	-	LOC101927686
chr9	114325246	114361711	NM_012212	0.069	-	PTGR1
chr2	134884695	134884763	NR_037450	0.068	+	MIR3679
chr1	147400505	147465753	NM_016334	0.057	+	GPR89B
chr1	202509241	202557697	NM_001197131	0.057	+	PPP1R12B
chr19	39306061	39322497	NM_001398	0.056	-	ECH1
chr7	15239942	15601640	NM_001004320	0.054	-	AGMO
chr1	16999497	17000007	NM_001282321	0.054	+	FAM231A
chr5	123972609	124080805	NM_020747	0.053	-	ZNF608
chr1	32372021	32403988	NM_080391	0.053	-	PTP4A2
chr12	47602202	47610226	NR_026544	0.047	-	PCED1B-AS1
chr16	69458497	69500167	NM_030579	0.045	+	CYB5B
chr16	3702939	3708096	NM_005223	0.044	+	DNASE1
chr8	86756683	86757761	NR_003594	0.040	-	REXO1L2P
chr12	24376204	24380442	NR_120473	0.036	+	LOC101928471
chr12	24376204	24390899	NR_120472	0.036	+	LOC101928471
chr10	126446399	126480510	NM_001304467	0.030	-	METTL10
chr10	126446399	126480510	NM_001304468	0.030	-	METTL10
chr10	126446399	126480510	NM_212554	0.030	-	METTL10
chr9	42493516	42498676	NR_121572	0.030	+	GXYLT1P3
chr3	88031725	88042919	NM_000866	0.030	+	HTR1F
chr2	128293377	128395303	NM_001080527	0.030	+	MYO7B
chr11	62186506	62190678	NM_003357	0.029	+	SCGB1A1
chr12	91311799	91342446	NR_038868	0.028	+	LINC00615
chr1	228612545	228613026	NM_003493	0.027	-	HIST3H3
chr1	145289769	145370303	NR_104217	0.027	+	NBPF25P
chr2	42275160	42285668	NM_138370	0.024	+	PKDCC
chr8	82370617	82373758	NM_001080526	0.021	-	FABP9
chr2	42577644	42588356	NM_004718	0.020	-	COX7A2L
chr3	99683157	99683242	NR_037486	0.020	-	MIR3921
chr6	57125321	57128144	NR_109774	0.019	-	LOC100506188
chr9	114365110	114375833	NR_034087	0.019	-	LRRC37A5P
chr11	20044101	20143147	NM_001111019	0.017	+	NAV2
chr1	154955769	154965587	NM_001184891	0.017	+	FLAD1
chr1	154955769	154961488	NM_001184892	0.017	+	FLAD1
chr1	154955769	154965587	NM_025207	0.017	+	FLAD1
chr1	154955769	154965587	NM_201398	0.017	+	FLAD1
chr12	12938540	12944399	NM_030817	0.016	+	APOLD1
chr10	5238797	5260910	NM_001818	0.015	+	AKR1C4
chr19	54102884	54106751	NR_002938	0.014	-	LOC284379
chr3	9404716	9428475	NM_015453	0.014	+	THUMPD3
chr3	9404716	9428475	NM_001114092	0.014	+	THUMPD3
chr6	110074369	110074419	NR_106988	0.013	-	MIR7641-2
chr1	156163722	156182587	NR_104408	0.013	+	SLC25A44
chr1	156163722	156182587	NM_014655	0.013	+	SLC25A44
chr1	156163722	156182587	NM_001286184	0.013	+	SLC25A44
chr1	156163722	156182587	NR_104412	0.013	+	SLC25A44
chr1	156163722	156182587	NR_104411	0.013	+	SLC25A44
chr1	148250248	148346929	NM_001277444	0.013	-	NBPF9
chr11	62574331	62599563	NM_003164	0.013	-	STX5
chr11	62574331	62599563	NM_001244666	0.013	-	STX5
chr1	148250248	148346756	NM_015383	0.012	-	NBPF14
chr3	5021096	5026865	NM_003670	0.011	+	BHLHE40
