# Argument List:
# Name = NA
# peak file = /data4/CistromeAP/galaxy_database/files/000/917/dataset_917655.dat
# distance = 30000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr17	34245084	34257303	NM_001163124	0.249	-	RDM1
chr5	125758868	125829853	NM_023927	0.248	+	GRAMD3
chr5	125758868	125829853	NM_001146321	0.248	+	GRAMD3
chr5	125758868	125829853	NM_001146320	0.248	+	GRAMD3
chr17	34261522	34270703	NM_001199951	0.247	-	LYZL6
chr17	80400462	80408707	NR_036516	0.240	-	C17orf62
chr17	80400462	80408707	NM_001193657	0.240	-	C17orf62
chr17	80400462	80408707	NM_001193654	0.240	-	C17orf62
chr17	80400462	80408707	NM_001100408	0.240	-	C17orf62
chr17	80407590	80408707	NR_036519	0.240	-	C17orf62
chr17	80400462	80408707	NR_036518	0.240	-	C17orf62
chr17	80400462	80408707	NM_001033046	0.240	-	C17orf62
chr17	80400462	80408707	NR_036517	0.240	-	C17orf62
chr17	80400462	80408707	NR_036514	0.240	-	C17orf62
chr17	80400462	80408707	NM_001100407	0.240	-	C17orf62
chr17	80400462	80408707	NM_001193653	0.240	-	C17orf62
chr19	54198466	54198547	NR_030191	0.239	+	MIR519B
chr4	71384297	71398459	NM_212557	0.232	+	AMTN
chr11	60223281	60238225	NM_021950	0.230	+	MS4A1
chr11	60223281	60238225	NM_152866	0.230	+	MS4A1
chr10	98064084	98098321	NM_004088	0.226	+	DNTT
chr10	98064084	98098321	NM_001017520	0.226	+	DNTT
chr6	93949739	94129300	NM_004440	0.226	-	EPHA7
chr6	31553955	31556686	NR_029461	0.216	+	LST1
chr6	31553955	31556686	NM_205839	0.216	+	LST1
chr6	31553955	31556686	NR_029462	0.216	+	LST1
chr6	31553955	31556686	NM_205838	0.216	+	LST1
chr6	42174538	42185633	NM_018141	0.213	-	MRPS10
chr3	52255095	52260179	NM_017442	0.212	-	TLR9
chr1	153516094	153518282	NM_019554	0.211	-	S100A4
chr1	153516097	153518282	NM_002961	0.211	-	S100A4
chr6	31554475	31556686	NM_205837	0.202	+	LST1
chr19	54183193	54183277	NR_030185	0.201	+	MIR519E
chr18	61370193	61391122	NM_080475	0.199	+	SERPINB11
chr6	31554976	31556686	NM_007161	0.189	+	LST1
chr6	31554976	31556686	NM_001166538	0.189	+	LST1
chr6	31554976	31556686	NM_205840	0.189	+	LST1
chr17	39981333	39992488	NR_033464	0.188	-	NT5C3L
chr13	31287614	31338565	NM_001204406	0.188	+	ALOX5AP
chr17	39981333	39992523	NR_033465	0.187	-	NT5C3L
chr17	39981333	39992523	NM_052935	0.187	-	NT5C3L
chr15	83316520	83361572	NR_046096	0.186	+	LOC283692
chr19	41903693	41930910	NM_001164783	0.185	+	BCKDHA
chr19	41903693	41930910	NM_000709	0.185	+	BCKDHA
chr11	108093558	108239826	NM_000051	0.182	+	ATM
chr15	83211950	83316728	NM_030594	0.181	-	CPEB1
chr11	108028118	108093365	NM_002519	0.178	-	NPAT
chr19	54182256	54182339	NR_030187	0.177	+	MIR515-2
chr19	54182256	54182339	NR_030184	0.177	+	MIR515-1
chr3	121706169	121741127	NM_175924	0.177	-	ILDR1
chr3	121706169	121741127	NM_001199799	0.177	-	ILDR1
chr3	121706169	121741127	NM_001199800	0.177	-	ILDR1
chr19	54200786	54200871	NR_030192	0.175	+	MIR525
chr19	41892275	41903256	NM_020158	0.175	-	EXOSC5
chr19	51226604	51228981	NM_002975	0.174	+	CLEC11A
chr8	86089618	86126753	NM_001083588	0.164	+	E2F5
chr8	86089618	86126753	NM_001951	0.164	+	E2F5
chr7	143929003	143929936	NM_001001802	0.158	-	OR2A42
chr7	143929003	143929936	NM_001005287	0.158	-	OR2A1
chr2	171568948	171571077	NR_027433	0.158	-	LOC440925
chr19	54201638	54201725	NR_030193	0.156	+	MIR523
chr17	39994042	40004599	NM_152467	0.153	+	KLHL10
chr2	171571856	171574498	NM_001003845	0.143	+	SP5
chr6	47624325	47665533	NM_153839	0.139	+	GPR111
chr1	153519808	153521734	NM_002960	0.133	-	S100A3
chr3	52279808	52284615	NM_144641	0.127	+	PPM1M
chr19	54203268	54203355	NR_030194	0.126	+	MIR518F
chr14	102228134	102394328	NM_001161726	0.126	+	PPP2R5C
chr14	102228134	102394328	NM_001161725	0.126	+	PPP2R5C
chr7	120590816	120615711	NM_019071	0.125	+	ING3
chr7	120590816	120597034	NM_198267	0.125	+	ING3
chr3	52280185	52284615	NM_001122870	0.120	+	PPM1M
chr19	53073525	53090427	NM_018260	0.119	+	ZNF701
chr19	53073916	53090427	NM_001172655	0.115	+	ZNF701
chr19	54178964	54179051	NR_030183	0.114	+	MIR520E
chr19	40534166	40562115	NM_001005851	0.113	-	ZNF780B
chr7	143906939	143906966	NR_046931	0.109	-	RNU6-57
chr19	54204480	54204541	NR_030195	0.107	+	MIR520B
chr14	20443677	20444724	NM_001005486	0.101	+	OR4K15
chr3	51851618	51852355	NR_038215	0.099	+	IQCF4
chr3	51851618	51853651	NR_038214	0.099	+	IQCF4
chr3	51851618	51853651	NR_038213	0.099	+	IQCF4
chr10	69556426	69597937	NM_021800	0.098	-	DNAJC12
chr10	69570965	69597937	NM_201262	0.098	-	DNAJC12
chr7	29603426	29606911	NM_175887	0.097	+	PRR15
chr3	126290621	126327398	NM_001039783	0.094	-	TXNRD3NB
chr19	54177450	54177574	NR_030182	0.093	+	MIR498
chr17	80416059	80446143	NM_001038618	0.090	+	NARF
chr16	90071278	90085937	NM_001042610	0.089	-	DBNDD1
chr14	99947738	99977852	NM_001099402	0.088	+	CCNK
chr19	54205990	54206073	NR_030196	0.088	+	MIR518B
chr6	31556659	31560762	NM_147130	0.087	-	NCR3
chr6	31556659	31560762	NM_001145466	0.087	-	NCR3
chr6	31557050	31560762	NM_001145467	0.087	-	NCR3
chr17	39968961	39979469	NM_021939	0.085	+	FKBP10
chr17	80416539	80446143	NM_031968	0.085	+	NARF
chr17	80416539	80446143	NM_001083608	0.085	+	NARF
chr17	80416539	80446143	NM_012336	0.085	+	NARF
chr16	76343734	76593135	NM_138994	0.082	+	CNTNAP4
chr6	42151021	42162694	NM_002098	0.081	-	GUCA1B
chr10	96698414	96749148	NM_000771	0.080	+	CYP2C9
chr2	75873908	75889334	NM_014763	0.079	+	MRPL19
chr17	39958204	39968451	NM_006455	0.079	-	LEPREL4
chr11	57001051	57004927	NM_005161	0.079	-	APLNR
chr11	57001051	57004927	NR_027991	0.079	-	APLNR
chr17	20224486	20305504	NR_023380	0.075	+	CCDC144C
chr7	135347220	135361160	NM_001130929	0.072	+	C7orf73
chr13	114523521	114539017	NM_001143945	0.070	-	GAS6
chr8	42552561	42592209	NM_000749	0.069	+	CHRNB3
chr19	54175221	54175294	NR_031568	0.069	+	MIR1323
chr19	17905918	17924385	NM_014256	0.069	+	B3GNT3
chr17	34522267	34524147	NM_001001437	0.067	-	CCL3L3
chr17	34522267	34524156	NM_021006	0.067	-	CCL3L1
chr16	30759619	30772497	NM_000294	0.067	+	PHKG2
chr16	30759619	30772497	NM_001172432	0.067	+	PHKG2
chr1	40766162	40782939	NM_001852	0.066	-	COL9A2
chr11	55944093	55945032	NM_001005492	0.063	+	OR5J2
chr2	26413503	26467594	NM_000182	0.063	-	HADHA
chr2	26467615	26513333	NM_000183	0.063	+	HADHB
chr5	112768250	112770728	NM_032028	0.063	-	TSSK1B
chr11	118827007	118829269	NM_006760	0.062	+	UPK2
chr6	3020389	3025005	NR_033884	0.061	-	HTATSF1P2
chr13	101182417	101186056	NM_033110	0.060	-	A2LD1
chr16	90089007	90111352	NR_023348	0.059	+	GAS8
chr16	90089007	90111379	NM_001481	0.059	+	GAS8
chr1	40839377	40888998	NM_022733	0.058	+	SMAP2
chr7	133812104	133948933	NM_144648	0.058	+	LRGUK
chr5	148737569	148749221	NM_024028	0.055	+	PCYOX1L
chr2	143886898	144525921	NM_018460	0.055	+	ARHGAP15
chr19	54209505	54209590	NR_030197	0.055	+	MIR526A1
chr7	134127106	134143888	NM_001628	0.054	-	AKR1B1
chr4	70999320	71012421	NR_033311	0.053	+	CSN1S2BP
chr1	9352940	9429590	NM_025106	0.052	+	SPSB1
chr13	19717121	19717217	NR_046927	0.052	+	RNU6-52
chr1	40840304	40888998	NM_001198978	0.052	+	SMAP2
chr13	44720605	44732358	NR_046843	0.052	-	SMIM2-IT1
chr13	114523521	114536714	NM_001143946	0.051	-	GAS6
chr3	142168076	142297668	NM_001184	0.049	-	ATR
chr19	54172416	54172500	NR_030180	0.048	+	MIR512-1
chr19	54172410	54172508	NR_030181	0.048	+	MIR512-2
chr19	54210706	54210793	NR_030198	0.047	+	MIR520C
chr10	23728197	23731310	NM_001145373	0.044	+	OTUD1
chr17	26574469	26575315	NR_002181	0.043	+	PPY2
chr8	86099909	86126753	NM_001083589	0.042	+	E2F5
chr1	65613849	65697828	NM_013410	0.041	+	AK4
chr8	20002365	20040717	NM_003053	0.041	-	SLC18A1
chr8	20002365	20040717	NM_001142325	0.041	-	SLC18A1
chr8	20002365	20040717	NM_001135691	0.041	-	SLC18A1
chr8	20002365	20040717	NM_001142324	0.041	-	SLC18A1
chr13	34392205	34540695	NM_181558	0.040	+	RFC3
chr13	34392205	34411644	NM_002915	0.040	+	RFC3
chr13	19747909	19755992	NM_006001	0.040	-	TUBA3C
chr19	54211988	54212089	NR_030199	0.039	+	MIR518C
chr1	65613512	65697828	NM_001005353	0.039	+	AK4
chr1	65613231	65697828	NM_203464	0.037	+	AK4
chr8	95835533	95892721	NM_017864	0.035	+	INTS8
chr19	54169932	54170016	NR_030180	0.034	+	MIR512-1
chr19	54169926	54170024	NR_030181	0.034	+	MIR512-2
chr11	55904246	55905194	NM_001004064	0.033	-	OR8J3
chr19	41931263	41934635	NM_198540	0.032	-	B3GNT8
chr19	40578898	40596810	NM_001010880	0.032	-	ZNF780A
chr19	40578898	40596845	NM_001142577	0.032	-	ZNF780A
chr19	40575058	40596845	NM_001142579	0.032	-	ZNF780A
chr19	40578898	40596845	NM_001142578	0.032	-	ZNF780A
chr16	30789769	30798523	NM_001080417	0.031	-	ZNF629
chr1	192778168	192781407	NM_002923	0.030	+	RGS2
chr15	78206558	78219188	NR_027024	0.030	-	LOC645752
chr19	54214255	54214342	NR_030200	0.029	+	MIR524
chr1	24645811	24690970	NM_198174	0.029	+	GRHL3
chr1	24645811	24681808	NM_198173	0.029	+	GRHL3
chr3	51860898	51864874	NM_001085479	0.029	+	IQCF3
chr3	51860898	51864874	NM_001207023	0.029	+	IQCF3
chr1	24646055	24681808	NM_001195010	0.028	+	GRHL3
chr4	154265800	154336247	NM_032117	0.027	+	MND1
chr4	154265800	154336247	NR_045605	0.027	+	MND1
chr4	154265800	154336247	NM_001253861	0.027	+	MND1
chr4	118004709	118006736	NM_152402	0.027	-	TRAM1L1
chr1	108507064	108537229	NR_046653	0.027	+	VAV3-AS1
chr12	70636773	70748773	NM_014515	0.026	+	CNOT2
chr12	70636809	70748773	NM_001199302	0.026	+	CNOT2
chr12	80603232	80772870	NM_173591	0.025	+	OTOGL
chr3	121774208	121839988	NM_175862	0.025	+	CD86
chr3	121774208	121839988	NM_001206925	0.025	+	CD86
chr3	121774208	121839988	NM_001206924	0.025	+	CD86
chr1	89829435	89853719	NM_198460	0.025	+	GBP6
chr7	26191846	26226756	NM_004289	0.025	+	NFE2L3
chr11	6129008	6129968	NM_001005181	0.025	+	OR56B4
chr19	54215521	54215608	NR_030201	0.025	+	MIR517A
chr5	60453535	60458302	NM_001048249	0.025	-	C5orf43
chr12	4543307	4554780	NM_020996	0.024	-	FGF6
chr12	70637493	70748773	NR_037615	0.024	+	CNOT2
chr12	70637493	70748773	NM_001199303	0.024	+	CNOT2
chr16	30751511	30756517	NM_001256829	0.023	+	LOC100862671
chr11	118868851	118886455	NM_198489	0.023	+	CCDC84
chr12	77157853	77247474	NM_015336	0.022	+	ZDHHC17
chr16	90095315	90096309	NM_001214	0.022	-	C16orf3
chr15	75941347	75950968	NM_153271	0.022	+	SNX33
chr19	54216600	54216688	NR_030202	0.021	+	MIR519D
chr19	43853207	43853700	NR_026881	0.021	+	PRG1
chr2	132036862	132057392	NR_030728	0.021	+	LOC440910
chr17	80376251	80400516	NM_173620	0.020	+	HEXDC
chr2	69240275	69476459	NM_032208	0.019	+	ANTXR1
chr2	69240275	69373496	NM_018153	0.019	+	ANTXR1
chr2	69240275	69399689	NM_053034	0.019	+	ANTXR1
chr11	18252901	18258384	NM_006512	0.018	-	SAA4
chr17	66097695	66132070	NR_027418	0.018	+	LOC100499466
chr14	20403766	20404842	NM_001004063	0.018	+	OR4K1
chr1	24649529	24681808	NM_021180	0.018	+	GRHL3
chr11	86748885	87039876	NM_001168724	0.017	+	TMEM135
chr11	86748885	87039876	NM_022918	0.017	+	TMEM135
chr11	86748885	87039876	NR_033149	0.017	+	TMEM135
chr18	61554938	61571124	NM_002575	0.017	+	SERPINB2
chr18	61554938	61571124	NM_001143818	0.017	+	SERPINB2
chr10	125425870	125456913	NM_153442	0.017	+	GPR26
chr7	143883175	143892791	NM_001003702	0.016	-	ARHGEF35
chr2	68872953	68882708	NM_138964	0.016	+	PROKR1
chr19	17862285	17899377	NM_015122	0.016	+	FCHO1
chr19	17862285	17899377	NM_001161359	0.016	+	FCHO1
chr7	75956107	75988342	NM_012479	0.015	-	YWHAG
chr1	153533584	153538306	NM_005978	0.015	-	S100A2
chr17	29159022	29222295	NM_024857	0.014	+	ATAD5
chr11	9002122	9025596	NM_020645	0.014	-	NRIP3
chr19	53030908	53059303	NM_001039886	0.014	+	ZNF808
chr19	54219847	54219934	NR_030203	0.014	+	MIR521-2
chr7	143947563	143948548	NR_002157	0.013	-	OR2A9P
chr7	143947766	143948696	NR_002158	0.013	-	OR2A20P
chr5	125800786	125829853	NM_001146322	0.013	+	GRAMD3
chr7	142749437	142750379	NM_001001667	0.013	+	OR6V1
chr19	41883168	41889987	NM_001042595	0.012	+	TMEM91
chr11	61891444	61920635	NM_020238	0.012	+	INCENP
chr11	61891444	61920635	NM_001040694	0.012	+	INCENP
chr11	60260250	60274901	NM_017716	0.012	+	MS4A12
chr11	60260250	60274901	NM_001164470	0.012	+	MS4A12
chr19	43857824	43867480	NM_020406	0.011	+	CD177
